Comment,Designator,Footprint,LCSC Part #
100u 25V,"C1,C2",C_1206_3216Metric,
10u 25V 1210,"C3,C29,C30,C35,C36,C41,C42,C47,C48,C54,C120",C_1210_3225Metric,C2918497
1u,"C4,C19",C_0603_1608Metric,C15849
10n,"C5,C26,C53,C57,C68,C75,C86,C98,C100,C102",C_0603_1608Metric,C57112
100p,"C6,C58,C69,C76,C87",C_0603_1608Metric,C14858
47n,"C7,C59,C70,C77,C88",C_0603_1608Metric,C1622
4.7u,"C8,C60,C71,C78,C89",C_0805_2012Metric,C1779
100n 25V,"C9,C10,C16,C17,C61,C62,C72,C73,C79,C80,C90,C91",C_0603_1608Metric,C14663
22u 50V X7R 1210,"C11-C15,C63-C67,C74,C81-C85,C92,C108-C111,C116-C119",C_1210_3225Metric,
3.3u,C18,C_0805_2012Metric,
10u 35V 1210,C20-C22,C_1210_3225Metric,
22u 25V 1210,C23-C25,C_1210_3225Metric,
1n,C27,C_0603_1608Metric,C1588
100n,"C28,C34,C40,C46,C52,C93,C95,C99,C101,C103,C104,C106,C107",C_0603_1608Metric,C14663
22u 10V X7R 1210,"C31-C33,C37-C39,C43-C45,C49-C51,C55,C56",C_1210_3225Metric,C2918511
220n,C94,C_0603_1608Metric,
330p,"C96,C97",C_0603_1608Metric,
3.3n,C112-C115,C_0603_1608Metric,C1613
SMCJ18A (VBAT clamp),D1,D_SMB,C1973072
SMCJ33A (VIN_RAW clamp behind E6's filter),D2,D_SMB,
SMBJ5.0A,D3,D_SMB,C113974
SMBJ18A (VBUS clamp at the outlet),D4,D_SMB,
25 A mini blade (Keystone 3568 holder): pack node to VBAT,F1,Fuseholder_Blade_Mini_Keystone_3568,
USB device rail to B16 (JST-VH): + -,J_5V_DEV?,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,
"slot 1 5.1 V rail to B16 (JST-VH, 16 AWG): + -",J_5V_S1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,
