Comment,Designator,Footprint,LCSC Part #
100u 25V,"C1,C2",C_1206_3216Metric,C2911627
10u 25V 1210,"C3,C29,C30,C35,C36,C41,C42,C47,C48,C54,C120",C_1210_3225Metric,C2918497
1u,"C4,C19",C_0603_1608Metric,C15849
10n,"C5,C26,C53,C57,C68,C75,C86,C98,C100,C102",C_0603_1608Metric,C57112
100p,"C6,C58,C69,C76,C87",C_0603_1608Metric,C14858
47n,"C7,C59,C70,C77,C88",C_0603_1608Metric,C1622
4.7u,"C8,C60,C71,C78,C89",C_0805_2012Metric,C1779
100n 25V,"C9,C10,C16,C17,C61,C62,C72,C73,C79,C80,C90,C91",C_0603_1608Metric,C14663
22u 50V X7R 1210,"C11,C12,C13,C14,C15,C63,C64,C65,C66,C67,C74,C81,C82,C83,C84,C85,C92,C108,C109,C110,C111,C116,C117,C118,C119",C_1210_3225Metric,C55533070
3.3u,C18,C_0805_2012Metric,C38332
10u 35V 1210,"C20,C21,C22",C_1210_3225Metric,C92799
22u 25V 1210,"C23,C24,C25",C_1210_3225Metric,C52306
1n,C27,C_0603_1608Metric,C1588
100n,"C28,C34,C40,C46,C52,C93,C95,C99,C101,C103,C104,C106,C107",C_0603_1608Metric,C14663
22u 10V X7R 1210,"C31,C32,C33,C37,C38,C39,C43,C44,C45,C49,C50,C51,C55,C56",C_1210_3225Metric,C2918511
220n,C94,C_0603_1608Metric,C21120
330p,"C96,C97",C_0603_1608Metric,C1664
3.3n,"C112,C113,C114,C115",C_0603_1608Metric,C1613
SMCJ18A (VBAT clamp),D1,D_SMB,C1973072
SMCJ33A (VIN_RAW clamp behind E6's filter),D2,D_SMB,C173526
SMBJ5.0A,D3,D_SMB,C113974
SMBJ18A (VBUS clamp at the outlet),D4,D_SMB,C353379
USB device rail to B16 (JST-VH): + -,J_5V_DEV,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"slot 1 5.1 V rail to B16 (JST-VH, 16 AWG): + -",J_5V_S1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"slot 2 5.1 V rail to B16 (JST-VH, 16 AWG): + -",J_5V_S2,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"slot 3 5.1 V rail to B16 (JST-VH, 16 AWG): + -",J_5V_S3,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
54 V to the PoE injector on B16 (JST-VH): + -,J_54V,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"A-B interconnect (IDC 2x13, top side) to B16's underside header",J_AB1,IDC-Header_2x13_P2.54mm_Vertical,C41430886
heater mat under the 2590 cradle (XH2.5): + -,J_HEAT,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
"12.0 V to the QMX HF unit in its lid tray (JST-VH, in the lid harness): + -",J_HF,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"MAIN button lead from the panel (XH2.5): PB, GND",J_MAINSW,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
"D8 mezzanine harness (IDC 2x8): its USB pair, the PTT mirror, the inhibit, the PA rail state, I2C",J_MEZZ1,IDC-Header_2x08_P2.54mm_Vertical,C5454489
D8 mezzanine 5 V (JST-VH): + -,J_MEZZ_PWR1,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
monitor supply lead to the Xenarc (JST-VH): + -,J_MON,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"13.8 V to the PA module on the face plate (JST-VH, 16 AWG): + -",J_PA,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
"SMA jack (Amphenol 132134, vertical), pigtail from the VHF device",J_RF1,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the HF device",J_RF2,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the WIFI24 device",J_RF3,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the GNSS device",J_RF4,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the SDR device",J_RF5,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the P2P-A device",J_RF6,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the P2P-B device",J_RF7,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the 5G-MAIN device",J_RF8,SMA_Amphenol_132134-11_Vertical,C3174425
"SMA jack (Amphenol 132134, vertical), pigtail from the 5G-DIV device",J_RF9,SMA_Amphenol_132134-11_Vertical,C3174425
