# Documents behind v2/docs/feasibility/EMCON.md that are not in v2/vendor/ (MESHSAT-1357, EMCON stream, 26 Sep 2026)
# Fields: file | URL | fetched (UTC date) | revision as printed | sha256 (full values in SHA256SUMS beside this file)
quectel-rm5x0n-at-commands-manual-v1.0-digikey.pdf | https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6382/Quectel_RG520NRG525FRG5x0FRM5x0NRM521F_Series_AT_Commands_Manual_V1.0.pdf | 2026-09-26 | RG520N&RG525F&RG5x0F&RM5x0N&RM521F Series AT Commands Manual, Version 1.0, 2024-02-07, Released | 6ed74e7e61da55211002cacc7075bc0a6051e81eeb7bb12848926fbc69f96c8c
quectel-rm520n-at-commands-manual-v1.0.0-prelim-20220812-waveshare.pdf | https://files.waveshare.com/upload/8/8a/Quectel_RG520N&RG52xF&RG530F&RM520N&RM530N_Series_AT_Commands_Manual_V1.0.0_Preliminary_20220812.pdf | 2026-09-26 | Version 1.0.0, 2022-08-12, Preliminary | 0e940dbc5957dbda2cafd30c1306e5b2b8f6534610f5b08d1c271d9538f017dd
quectel-ec2x-eg2x-eg9x-em05-qcfg-at-commands-manual-v1.1-sixfab.pdf | https://sixfab.com/wp-content/uploads/2023/11/Quectel_EC2xEG2xEG9xEM05_Series_QCFG_AT_Commands_Manual_V1.1.pdf | 2026-09-26 | EC2x&EG2x&EG9x&EM05 Series QCFG AT Commands Manual, Version 1.1, 2023-06-27, Released (a Quectel document on a distributor's host; used only as precedent for Quectel's W_DISABLE# handling, sections 5.12 and 5.27) | 0280b1af1cfa627e232014c7d12c6544115014cb24143b91bd63ae290e03be8e
quectel-rg50xq-rm5xxq-at-commands-manual-v1.1.1-quectelforums.pdf | https://forums.quectel.com/uploads/short-url/avUSxfJeKqWJzAie8wEZCshlXjm.pdf | 2026-09-26 | RG50xQ&RM5xxQ Series AT Commands Manual, Version 1.1.1, 2020-10-09, Preliminary (Quectel's forum host) | ef90013314f828b82e1e6f7b024590b2f77a3dc617ff7dd2fd0f15a01410abf7
qrplabs-qmx-schematics-rev5.pdf | https://qrp-labs.com/images/qmx/manuals/schematics_rev5.pdf | 2026-09-26 | "Rev 5 PCB QMX Schematics", PDF created 2025-11-20 (listed on qrp-labs.com/qmx.html as published 20-Nov-2025) | 83e911e666e6cfba3e7705d353376577f147f55601188cf8ed4a717ec232e488
qrplabs-qmx-schematics-rev3.pdf | https://qrp-labs.com/images/qmx/manuals/schematics_rev3.pdf | 2026-09-26 | "Schematics for PCB Rev 3/Rev 4", PDF created 2024-03-06 | 6a1072939603ea9b8c9eae9e4a9268a5a76227129ba5d1127582ceb054a93a8a
qrplabs-qmx-schematics-rev2.pdf | https://qrp-labs.com/images/qmx/manuals/schematics_rev2.pdf | 2026-09-26 | "Schematics for PCB Rev 2" (listed as published 29-Nov-2023) | 36a1941918e59e59772e3c758647d066a7166d9dee3c9f7a08a4b6a62dac79cc
qrplabs-qmx-schematics-rev1-a.pdf | https://qrp-labs.com/images/qmx/manuals/schematics_rev1_a.pdf | 2026-09-26 | "Rev 1 PCB QMX Schematics", PDF created 2023-07-09 | 11be4f699e85f0399893e969fe8b9c1e81258b0914ade40df6a1a721a8a661e6
qrplabs-qmx-rev1-searchable-schematic-1b.pdf | https://qrp-labs.com/images/qmx/manuals/QMX_Rev1_Searchable_Schematic_1b.pdf | 2026-09-26 | compiled by G4GIR, 17 Feb 2025 (not a QRP Labs drawing; used only as a cross-check of Rev 1) | dd7c32c85ffc2586856d653a0c785b94d7b6bc08f8a36fa26f5bc092d035be25
myriadrf-limesdr-mini-2-0-page-20260925.html | https://myriadrf.org/projects/limesdr-mini-2-0 | 2026-09-25 (adjudication A11's fetch, copied) | web page | f1146105a3c09ebcf786d217fbf0053f8e6df3c5192efcf666e731281be4c4f1
kernel/mt7915_mcu.c | https://raw.githubusercontent.com/torvalds/linux/f14572c203d57492e1d4e5d7851a3b143e083b82/drivers/net/wireless/mediatek/mt76/mt7915/mcu.c | 2026-09-25 (A11), re-fetched 2026-09-26 with identical sha256 | commit f14572c2 (2026-09-25) | e3cc6c75c355e7e2ede45f946113dc1371b7652f3fb3a740581503b434ebeb2d
kernel/mt7915_mt7915.h | https://raw.githubusercontent.com/torvalds/linux/f14572c203d57492e1d4e5d7851a3b143e083b82/drivers/net/wireless/mediatek/mt76/mt7915/mt7915.h | as above | commit f14572c2 | b11e1fc5910e4a7035fa180cd996d4bf10d751481aa0a197b64188e7901700a5
kernel/head.json | https://api.github.com/repos/torvalds/linux/commits/master (A11's record of the commit read) | 2026-09-25 | commit f14572c2 | 17a1bb915f136f4ed0dcf41aceb6aa7f31ed2813f0b42b6095337e5207322c2b
qmx-crops/*.png | rendered here with pdftoppm from the four QRP Labs PDFs above (page 2 at 300 dpi, J201 region; page 1 of Rev 5 at 300 dpi, downscaled) | 2026-09-26 | derived | see SHA256SUMS
# Not fetched, read at 2026-09-26: https://raw.githubusercontent.com/torvalds/linux/f14572c2.../mt7915/main.c (0 occurrences of "rfkill")
# and .../mt7921/main.c (rfkill poll at lines 1536 to 1545), streamed through grep, not stored.
# Each quectel-*.txt beside its PDF is `pdftotext -layout` output of that PDF (poppler, 26 Sep 2026), derived, used for search and line reading.
